Kassenart;Quelle;Erstellungsdatum;Typ;Risikogruppe;Einheit;Wert
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG001;VT;22911892
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG002;VT;205722076
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG003;VT;281242334
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG004;VT;214037616
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG005;VT;357284882
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG006;VT;313235539
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG007;VT;286517727
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG008;VT;261674234
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG009;VT;248376992
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG010;VT;313186675
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG011;VT;348919219
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG012;VT;327160523
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG013;VT;286894933
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG014;VT;257246263
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG015;VT;210163514
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG016;VT;308709526
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG017;VT;250747251
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG018;VT;169015464
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG019;VT;78640601
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG020;VT;21781492
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG021;VT;24143820
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG022;VT;217516166
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG023;VT;297173384
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG024;VT;226600010
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG025;VT;387115650
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG026;VT;341021699
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG027;VT;310599543
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG028;VT;276330720
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG029;VT;260295278
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG030;VT;328600756
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG031;VT;369835032
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG032;VT;334825579
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG033;VT;277163610
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG034;VT;234784741
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG035;VT;178558694
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG036;VT;228150403
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG037;VT;148223806
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG038;VT;73379487
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG039;VT;21213471
AOK;Grundlagenbescheid;20. Nov 17;AGG;AGG040;VT;3934986
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG001;VT;0
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG002;VT;575363
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG003;VT;1301947
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG004;VT;1149780
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG005;VT;1613912
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG006;VT;1070684
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG007;VT;1214265
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG008;VT;1490086
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG009;VT;1771699
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG010;VT;1872506
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG011;VT;1904975
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG012;VT;1836995
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG013;VT;2124219
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG014;VT;3663073
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG015;VT;4353820
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG016;VT;4046435
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG017;VT;2563949
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG018;VT;1207540
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG019;VT;406944
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG020;VT;92579
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG021;VT;0
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG022;VT;566351
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG023;VT;1332749
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG024;VT;1160553
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG025;VT;1417083
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG026;VT;1390198
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG027;VT;1829062
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG028;VT;2412349
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG029;VT;2871415
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG030;VT;3029603
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG031;VT;2852131
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG032;VT;2358671
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG033;VT;1565544
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG034;VT;1684900
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG035;VT;2292716
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG036;VT;2582295
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG037;VT;1540298
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG038;VT;557793
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG039;VT;138489
AOK;Grundlagenbescheid;20. Nov 17;AusAGG;AusAGG040;VT;22332
AOK;Grundlagenbescheid;20. Nov 17;EMG;EMG001;VT;18420346
AOK;Grundlagenbescheid;20. Nov 17;EMG;EMG002;VT;47402833
AOK;Grundlagenbescheid;20. Nov 17;EMG;EMG003;VT;72567602
AOK;Grundlagenbescheid;20. Nov 17;EMG;EMG004;VT;19959936
AOK;Grundlagenbescheid;20. Nov 17;EMG;EMG005;VT;53114670
AOK;Grundlagenbescheid;20. Nov 17;EMG;EMG006;VT;85105704
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG001;VT;7189886
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG002;VT;19590447
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG003;VT;549955
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG004;VT;407466
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG005;VT;6294647
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG006;VT;1076633
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG011;VT;35445222
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG012;VT;71465263
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG013;VT;155055873
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG015;VT;164050432
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG016;VT;153628027
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG017;VT;51417977
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG018;VT;1124557
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG019;VT;657160766
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG020;VT;218229718
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG021;VT;3631619
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG022;VT;8743454
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG023;VT;44141958
